dataset,algorithm,batch_size,JPI_normalized,delay_normalized
airlines,OzaBagAdwin,50,0.011065280105889646,0.00025803424818203143
airlines,OzaBagAdwin,50,0.011814700401285506,0.0002747897188432023
airlines,OzaBagAdwin,50,0.04178860415719235,0.0008528534566535974
airlines,OzaBagASHT,50,0.0062877135600598304,0.00016085251834724039
airlines,OzaBagASHT,50,0.0029780861708915123,7.539961797526893e-05
airlines,OzaBagASHT,50,0.007709006538622173,0.00013069267115713281
airlines,OzaBag,50,0.002213230770053973,5.1941959049629706e-05
airlines,OzaBag,50,0.002445604639130382,6.199524144633223e-05
airlines,OzaBag,50,0.00594849443947989,7.707516504138601e-05
GMSC,AdaptiveRandomForest,50,0.0025135174174822287,5.529305318186388e-05
GMSC,AdaptiveRandomForest,50,0.003829655481286501,8.042625917362019e-05
GMSC,AdaptiveRandomForest,50,0.01542530055890693,0.00030662511309942694
GMSC,LBag,50,0.002276484873661856,5.361750611574679e-05
GMSC,LBag,50,0.003066730471857941,6.702188264468349e-05
GMSC,LBag,50,0.012977814214885449,0.00022954994805804096
GMSC,StreamingRandomPatches,50,0.004774693690805416,0.00011058610636372776
GMSC,StreamingRandomPatches,50,0.006661719280127203,0.00015247478301665495
GMSC,StreamingRandomPatches,50,0.02740074085291279,0.0005479038906202876
GMSC,OzaBagAdwin,50,0.0021544544318297474,5.6968600247980966e-05
GMSC,OzaBagAdwin,50,0.0015097288610174738,3.518648838845883e-05
GMSC,OzaBagAdwin,50,0.006418060740841756,0.00010891055929761067
GMSC,OzaBagASHT,50,0.0009188151199158517,2.1782111859522132e-05
GMSC,OzaBagASHT,50,0.0009056259507860339,2.0106564793405048e-05
GMSC,OzaBagASHT,50,0.003467132322079684,6.367078851244931e-05
GMSC,OzaBag,50,0.0008395275259702842,1.843101772728796e-05
GMSC,OzaBag,50,0.0009228269020223406,1.843101772728796e-05
GMSC,OzaBag,50,0.003653291446506304,7.204852384303474e-05
elecNormNew,AdaptiveRandomForest,50,0.004908619022000622,0.00010723501223149358
elecNormNew,AdaptiveRandomForest,50,0.007035377726238034,0.00015415033008277202
elecNormNew,AdaptiveRandomForest,50,0.030634944253587478,0.0005931436614054489
elecNormNew,LBag,50,0.003879254258067222,8.210180623973728e-05
elecNormNew,LBag,50,0.005041163757061235,0.00010388391809925941
elecNormNew,LBag,50,0.020708365058375845,0.0003954291076036326
elecNormNew,StreamingRandomPatches,50,0.009582098070414978,0.00020609228913240173
elecNormNew,StreamingRandomPatches,50,0.013424929959260215,0.00028484300123990484
elecNormNew,StreamingRandomPatches,50,0.05729690398544239,0.0011661807580174927
elecNormNew,OzaBagAdwin,50,0.002322890871370564,4.859086491739553e-05
elecNormNew,OzaBagAdwin,50,0.0029394662038678024,6.031969438021514e-05
elecNormNew,OzaBagAdwin,50,0.010344067509584338,5.361750611574679e-05
elecNormNew,OzaBagASHT,50,0.001750183511432044,3.518648838845883e-05
elecNormNew,OzaBagASHT,50,0.0018608589609953807,3.518648838845883e-05
elecNormNew,OzaBagASHT,50,0.006120297975863229,0.00011226165342984485
elecNormNew,OzaBag,50,0.001268043293740711,2.1782111859522132e-05
elecNormNew,OzaBag,50,0.0018896664419432616,3.1835394256224655e-05
elecNormNew,OzaBag,50,0.006122427624845159,0.00011393720049596193
covtypeNorm,AdaptiveRandomForest,50,0.004683931655017867,0.00010891055929761067
covtypeNorm,AdaptiveRandomForest,50,0.006420107427947535,0.00014074595355383532
covtypeNorm,AdaptiveRandomForest,50,0.029555454420429172,0.0005127174022318287
covtypeNorm,LBag,50,0.0060183414336105355,0.00013571931235548405
covtypeNorm,LBag,50,0.009680692521733309,0.00021447002446298716
covtypeNorm,LBag,50,0.04207096768628101,0.0008511779095874803
covtypeNorm,StreamingRandomPatches,50,0.017002541486580182,0.0003786736369424617
covtypeNorm,StreamingRandomPatches,50,0.025875027420987167,0.0006065480379343856
covtypeNorm,StreamingRandomPatches,50,0.10397269448527488,0.0019922254616132166
covtypeNorm,OzaBagAdwin,50,0.003912278477566179,9.047954157032271e-05
covtypeNorm,OzaBagAdwin,50,0.006417958689497586,0.00013236821822324989
covtypeNorm,OzaBagAdwin,50,0.02845671240819407,0.0005881170202070976
covtypeNorm,OzaBagASHT,50,0.001353221184149432,3.1835394256224655e-05
covtypeNorm,OzaBagASHT,50,0.0021990406992069725,4.859086491739553e-05
covtypeNorm,OzaBagASHT,50,0.00971937601683439,0.00018263463020676252
covtypeNorm,OzaBag,50,0.0013586552148288865,3.1835394256224655e-05
covtypeNorm,OzaBag,50,0.002183020232217844,4.691531785127844e-05
covtypeNorm,OzaBag,50,0.009765548186043745,0.0001859857243389967
airlines,AdaptiveRandomForest,100,0.048905587523905586,0.002210046580208438
airlines,AdaptiveRandomForest,100,0.04809351816919755,0.0022636640863241846
airlines,AdaptiveRandomForest,100,0.13129983979151974,0.005557789618310378
airlines,LBag,100,0.05366201042139234,0.002483160751985523
airlines,LBag,100,0.05541569908286977,0.0025099695050433968
airlines,LBag,100,0.13312481878186017,0.0051623605107067455
airlines,StreamingRandomPatches,100,0.058690078255499996,0.0026624442880600514
airlines,StreamingRandomPatches,100,0.05898517289936397,0.0028115679769444724
airlines,StreamingRandomPatches,100,0.13660679475851076,0.005996782949633055
airlines,OzaBagAdwin,100,0.011520880831230087,0.0005244462316946483
airlines,OzaBagAdwin,100,0.011680884180975959,0.0005445527964880534
airlines,OzaBagAdwin,100,0.04170214301819638,0.0017073824603733119
airlines,OzaBagASHT,100,0.006884850770286061,0.00036359371334740794
airlines,OzaBagASHT,100,0.009132430525611223,0.00046580208438055026
airlines,OzaBagASHT,100,0.006448390765594744,0.0002630608893803827
airlines,OzaBag,100,0.0021683416387023218,0.0001055594651653765
airlines,OzaBag,100,0.0023044399198623037,0.00011393720049596193
