,index,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
180,180,OzaBagExecutorMAXChunk,covtypeNorm,4,2000,73,70.00350189208984,8400.0,119.99400329589844,17767.0,45.21875,127,3.712608695652174,853.9,69.8928309924782,8400.0,445.49078006246816,0.05303461667410335,0
201,201,OzaBagExecutorMAXChunk,covtypeNorm,4,500,680,674.6738891601562,81000.0,120.05799865722656,714.0,80.33043478260869,125,4.652192982456141,1060.7,677.8837352505533,81464.0,558.5329788408782,0.006895468874578743,0
139,139,OzaBagExecutorMAXChunk,covtypeNorm,4,500,378,374.6341247558594,44925.0,119.91699981689452,1240.0,73.38660664040518,126,4.3166666666666655,984.1999999999998,374.0663952239402,44925.0,517.6417158762612,0.011522353163634083,0
108,108,OzaBagExecutorMAXChunk,covtypeNorm,4,500,75,74.20600128173828,9000.0,121.28399658203124,4395.0,53.32941176470588,127,3.6652173913043478,843.0,74.88081470326397,9000.0,444.53221355935796,0.049392468173262,0
193,193,OzaBagExecutorMAXChunk,covtypeNorm,4,50,629,621.12060546875,74550.0,120.0250015258789,79.0,81.46308724832215,125,4.637610619469026,1048.1,623.0860129152519,74875.0,556.629221678202,0.007466522088238794,0
121,121,OzaBagExecutorMAXChunk,covtypeNorm,4,50,349,344.5197448730469,41331.0,119.96700286865234,132.0,75.05632131004577,126,4.332751091703057,992.2,344.1382181515404,41331.0,519.7871626474972,0.012576205817606571,0
87,87,OzaBagExecutorMAXChunk,covtypeNorm,4,50,69,64.89891815185547,7788.0,120.0019989013672,516.0,61.9539932799173,126,3.731441048034935,854.5000000000001,64.8967060761621,7800.0,447.7803845468047,0.0574961972967135,0
68,68,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,2000,551,527.817626953125,64000.0,121.25399780273438,3549.0,78.28548387096774,126,4.719298245614035,1076.0,548.3932717996521,65890.0,572.2337791041324,0.008941152798502069,0
55,55,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,2000,306,297.6042785644531,36000.0,120.96600341796876,6047.0,65.54411764705883,126,4.399563318777292,1007.5,304.298944002132,36539.0,532.1975914567839,0.014783266429355109,0
174,174,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,2000,61,60.00249862670898,7200.0,119.99500274658205,21172.0,47.05769230769231,130,3.758050847457627,886.9,59.90863932502933,7200.0,450.94732176247294,0.06263157246701014,0
4,4,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,500,685,677.3096923828125,81500.0,120.3290023803711,711.0,83.02962962962962,126,4.839737991266375,1108.3,682.8909045518848,82063.0,582.3608442714641,0.007145531831551707,0
50,50,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,500,380,378.1236572265625,45500.0,120.33100128173828,1154.0,76.38444444444444,126,4.401310043668122,1007.8999999999999,379.0034550222703,45524.0,529.6140445059564,0.011639869110021019,0
