,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPIold,JPI,delay_normalized,JPI_normalized,PERC,tput
1,OzaBagASHTExecutorMAXChunk,elecNormNew,4,25,392,389.4629821777344,45300.0,116.31400299072266,35.0,76.35781336278299,25,121,4.417808219178082,967.5,388.9709164577825,45312.0,534.554794520548,513.8529584179186,9.752336024675678e-05,0.01180032658985757,5.864414731409805e-05,0.006346968746708942,10,389.46299529914023
250,LBagExecutorMAXChunk,elecNormNew,4,2000,1262,1050.1588134765625,38000.0,36.185001373291016,1767.0,86.88333333333334,25,42,5.048051948051947,388.69999999999993,1253.6867443211686,45312.0,212.01818181818177,182.6637666727041,0.0001328434723171565,0.005579425837320573,0.002960691665828893,0.003000971298920759,90,1050.1588657683092
380,LBagExecutorMAXChunk,elecNormNew,4,2000,701,648.0381469726562,42000.0,64.81099700927734,2452.0,86.9,25,70,4.319685039370079,548.6000000000001,697.0755195914035,45312.0,302.37795275590554,279.9630941676343,0.0001028496437945257,0.007199475065616799,0.0041084414061190976,0.003872337166791217,50,648.0381715773934
92,LBagExecutorMAXChunk,elecNormNew,4,2000,140,133.5347442626953,16000.0,119.81900024414062,8540.0,89.2,25,125,3.3855263157894733,771.8999999999999,139.75385589654283,16772.0,423.19078947368416,405.6503784581234,0.00021159539473684209,0.02644942434210526,0.014309171944639924,0.014226188435502532,10,133.53474797318242
307,LBagExecutorMAXChunk,elecNormNew,4,500,1324,1178.661865234375,40500.0,34.36100006103516,406.0,88.69,25,40,5.245205479452054,382.9,1314.0006959749448,45312.0,209.80821917808217,180.23050579959403,0.00012951124640622356,0.005180449856248943,0.0006802721088435374,0.0027863765533206086,90,1178.661852916393
167,LBagExecutorMAXChunk,elecNormNew,4,500,735,703.6102294921875,43500.0,61.82400131225586,594.0,88.47906976744187,25,68,4.4319999999999995,553.9999999999999,730.9683976189324,45312.0,301.376,274.00397381591796,0.00010188505747126435,0.006928183908045976,0.00099527495727355,0.0037264194682217165,50,703.6102335126059
105,LBagExecutorMAXChunk,elecNormNew,4,500,147,141.8688201904297,17000.0,119.8290023803711,2090.0,89.72727272727272,25,126,3.4711790393013104,794.9000000000001,144.74024080323292,17371.0,437.3685589519651,415.947921363131,0.0002041870023118418,0.025727562291292066,0.003501893368184712,0.013837924954737135,10,141.8688269308727
334,LBagExecutorMAXChunk,elecNormNew,4,250,1282,1190.140869140625,42250.0,35.5,198.0,89.57380952380952,25,41,5.476,410.7,1274.8501814703318,45312.0,224.516,194.398,0.0001296094674556213,0.005313988165680473,0.00033175831909118325,0.0028582019786591545,90,1190.1408450704225
198,LBagExecutorMAXChunk,elecNormNew,4,250,712,706.9318237304688,45250.0,64.00900268554688,288.0,89.49333333333334,25,69,4.585714285714286,577.8000000000001,705.7614130180832,45312.0,316.41428571428577,293.5269980294364,0.00010134175217048146,0.006992580899763221,0.00048255755504172113,0.0037610562802369643,50,706.9318080504537
223,LBagExecutorMAXChunk,elecNormNew,4,250,142,139.53334045410156,16750.0,120.04299926757812,1112.0,90.81818181818181,25,126,3.7820960698689956,866.1,139.74803359552058,16772.0,476.54410480349344,454.01415574519393,0.00022579678029068632,0.028450394316626475,0.001863208337522201,0.015302437791372473,10,139.53333474002872
45,LBagExecutorMAXChunk,elecNormNew,4,100,1270,1087.655517578125,38900.0,35.76499938964844,89.0,90.15206185567011,25,42,6.550649350649351,504.40000000000003,1261.3645853631378,45312.0,275.1272727272727,234.28397002777498,0.00016839715554368512,0.007072680532834774,0.00014912368888442076,0.0038041389749282253,90,1087.655547710115
