arch,eval,dataset,algorithm,ensemble_size,cores,chunk_size,time,accuracy,precision,recall
i7,Chunks,elecNormNew,OzaBagExecutorCHUNK,100,8,2000,6.894000053405762,75.6949575175471,75.25389846505111,74.67570870906903
i7,Chunks,elecNormNew,OzaBagExecutorCHUNK,100,8,50,7.589000225067139,78.91166983341435,78.51689877757777,78.09505732057322
i7,Chunks,elecNormNew,OzaBagExecutorCHUNK,100,8,500,7.25,77.03070606087655,76.5506986436305,76.18550790418523
i7,Chunks,elecNormNew,OzaBagExecutorCHUNK,150,8,2000,10.085000038146973,75.09697081640192,74.57076916390852,74.23964605281012
i7,Chunks,elecNormNew,OzaBagExecutorCHUNK,150,8,50,10.973999977111816,78.96027572798374,78.56047889173783,78.15981733860625
i7,Chunks,elecNormNew,OzaBagExecutorCHUNK,150,8,500,10.342000007629395,77.09318932428813,76.5970882867369,76.30765621387229
i7,Chunks,elecNormNew,OzaBagExecutorMAXChunk,100,8,2000,6.3470001220703125,75.22164758034725,74.75414507504838,74.20261020398648
i7,Chunks,elecNormNew,OzaBagExecutorMAXChunk,100,8,50,7.328000068664551,79.00446290486501,78.60448779121312,78.20913177814394
i7,Chunks,elecNormNew,OzaBagExecutorMAXChunk,100,8,500,6.735000133514404,76.8164777291797,76.32454662999184,75.97801382619144
i7,Chunks,elecNormNew,OzaBagExecutorMAXChunk,150,8,2000,9.847000122070312,75.26089767270041,74.73445334133407,74.43281020003376
i7,Chunks,elecNormNew,OzaBagExecutorMAXChunk,150,8,50,10.177000045776367,78.85201714462463,78.4367461221646,78.07531851742779
i7,Chunks,elecNormNew,OzaBagExecutorMAXChunk,150,8,500,10.494000434875488,77.1333571364813,76.63260723021779,76.37024601933142
i7,Chunks,GMSC,AdaptiveRandomForestExecutorCHUNK,100,8,2000,72.90499877929688,93.55608108108108,78.44346668261402,54.35941687951357
i7,Chunks,GMSC,AdaptiveRandomForestExecutorCHUNK,100,8,50,75.76899719238281,93.53384461487163,77.33079211436913,54.36838680476105
i7,Chunks,GMSC,AdaptiveRandomForestExecutorCHUNK,100,8,500,73.66000366210938,93.5551839464883,77.89903717490904,54.50806086436998
i7,Chunks,GMSC,AdaptiveRandomForestExecutorCHUNK,150,8,2000,113.60299682617188,93.52837837837838,77.80343593532209,54.19938838349548
i7,Chunks,GMSC,AdaptiveRandomForestExecutorCHUNK,150,8,50,119.60099792480469,93.54118039346449,77.77173646410812,54.237998169506476
