,dataset,algorithm,ensemble_size,cores,chunk_size,time,accuracy,rate,90
228,GMSC,OBRUNPER,100,8,1,99.76300048828124,93.54733333333334,1503.563438006457,1353.2070942058115
229,GMSC,OBRUNPER,150,8,1,143.72799682617188,93.57,1043.6380059023131,939.2742053120818
230,GMSC,SRPSequential,100,1,1,306.6470031738281,93.50933333333332,489.1617998789635,440.2456198910672
231,GMSC,SRPSequential,150,1,1,485.3699951171875,93.51466666666668,309.0425891773225,278.13833025959025
232,GMSC,SRPMB+,100,8,2000,86.12300109863281,93.5047297297297,1741.6949953730912,1567.525495835782
233,GMSC,SRPMB+,100,8,50,117.58200073242188,93.51850616872292,1275.7054571758042,1148.1349114582238
234,GMSC,SRPMB+,100,8,500,91.20800018310548,93.51505016722409,1644.5925762966635,1480.1333186669972
235,GMSC,SRPMB+,150,8,2000,137.26600646972656,93.5108108108108,1092.7687331901934,983.4918598711741
236,GMSC,SRPMB+,150,8,50,165.59300231933594,93.52117372457485,905.8353789052886,815.2518410147597
237,GMSC,SRPMB+,150,8,500,143.24899291992188,93.52508361204012,1047.127780394603,942.4150023551426
238,GMSC,SRPRUNPER,100,8,1,390.05499267578125,93.49799999999999,384.5611588535208,346.10504296816873
239,GMSC,SRPRUNPER,150,8,1,527.375,93.49333333333333,284.4275894761792,255.9848305285613
240,airlines,ARFMB+,100,8,2000,606.1240234375,65.12226847518437,890.9067766981219,801.8160990283097
241,airlines,ARFMB+,100,8,50,898.4970092773438,66.30300760383659,601.0036699335471,540.9033029401925
242,airlines,ARFMB+,100,8,500,631.0679931640625,66.01952557419699,855.6922643034646,770.1230378731182
243,airlines,ARFMB+,150,8,2000,905.364013671875,65.15446152930032,596.4451776804424,536.8006599123981
244,airlines,ARFMB+,150,8,50,1278.4940185546875,66.38941062386317,422.3719408640327,380.13474677762946
245,airlines,ARFMB+,150,8,500,897.2650146484375,66.02973187129673,601.8288813050183,541.6459931745164
246,airlines,ARFRUNPER,100,8,1,1590.7359619140625,66.45315110042401,339.4655134031432,305.51896206282885
247,airlines,ARFRUNPER,150,8,1,2227.238037109375,66.4075434338865,242.4527558360309,218.2074802524278
248,airlines,ARFSequential,100,1,1,3000.205078125,66.41458852058743,179.98769615358324,161.98892653822492
249,airlines,ARFSequential,150,1,1,4585.58203125,66.48281462337522,117.7604056191749,105.98436505725742
250,airlines,LBagMB+,100,8,2000,281.5039978027344,65.86866350442794,1918.2676061972245,1726.4408455775022
251,airlines,LBagMB+,100,8,50,804.8150024414062,63.44818507304393,670.9616475362785,603.8654827826507
252,airlines,LBagMB+,100,8,500,382.3450012207031,64.85081177175749,1412.3370209521656,1271.103318856949
