,pontos,distancia,batch_size,PERC,inc_rate
217,"(0.006122427624845159, 0.00011393720049596193)",0.006123487707762954,50,10,baixo
218,"(0.006180583446978865, 0.0002228477597935726)",0.006184599653099153,100,10,medio
219,"(0.00598877007558477, 0.0015800408833484133)",0.006193698104627965,500,10,alto
220,"(0.0062877135600598304, 0.00016085251834724039)",0.006289770691052172,50,90,baixo
221,"(0.004463419335339222, 0.00446365738413592)",0.006312396486757715,2000,10,baixo
222,"(0.004449951369689762, 0.004512248249053316)",0.0063373852221313256,2000,10,baixo
223,"(0.006337709955091121, 5.864414731409805e-05)",0.006337981272524817,25,10,baixo
224,"(0.006346968746708942, 5.864414731409805e-05)",0.006347239668368784,25,10,baixo
225,"(0.006348837118000457, 0.0002915451895043732)",0.006355527621560895,100,50,medio
226,"(0.006318772497987849, 0.0008092892329345531)",0.006370387346454798,250,10,medio
227,"(0.006418060740841756, 0.00010891055929761067)",0.006418984747065593,50,10,baixo
228,"(0.006417958689497586, 0.00013236821822324989)",0.006419323569138199,50,50,baixo
229,"(0.006420107427947535, 0.00014074595355383532)",0.006421650006799568,50,50,baixo
230,"(0.004463167430289214, 0.004646292014342683)",0.0064426619493295634,2000,90,baixo
231,"(0.0045822330281726446, 0.00453905700211119)",0.00644979829086855,2000,10,baixo
232,"(0.006448390765594744, 0.0002630608893803827)",0.006453754294775187,100,10,medio
233,"(0.004315103344012413, 0.005038370027814081)",0.006633648272759294,2000,50,baixo
234,"(0.006604440326332055, 0.0008511779095874803)",0.006659064187845824,250,10,medio
235,"(0.006661719280127203, 0.00015247478301665495)",0.006663463988547883,50,50,baixo
236,"(0.006694255788503176, 0.0002898696424382561)",0.006700528708356942,100,50,medio
237,"(0.00653657525989513, 0.0018431017727287959)",0.0067914534727780565,500,50,alto
238,"(0.004690178996983016, 0.004951241580375992)",0.006820012625427079,2000,10,baixo
239,"(0.006884850770286061, 0.00036359371334740794)",0.006894444902781828,100,90,medio
240,"(0.00690352932144033, 0.0007808049328105627)",0.006947544417640501,250,50,medio
241,"(0.006999452750761159, 7.707516504138601e-05)",0.006999877098292806,25,90,baixo
242,"(0.007035377726238034, 0.00015415033008277202)",0.007037066297478721,50,50,baixo
243,"(0.007063877571927706, 7.539961797526893e-05)",0.007064279967100262,25,50,baixo
244,"(0.00712364660461651, 7.372407090915184e-05)",0.00712402808712148,25,50,baixo
245,"(0.00716496766959159, 0.0003183539425622466)",0.007172036735756285,100,50,medio
246,"(0.004848898196001234, 0.005376830535169733)",0.007240312170004665,2000,90,baixo
247,"(0.0070935309864086004, 0.0018095908314064541)",0.0073207104048889455,500,10,alto
248,"(0.007308039874196311, 0.0008930665862404075)",0.007362405498904712,250,10,medio
249,"(0.00747849530494501, 8.042625917362019e-05)",0.007478927757991063,25,50,baixo
250,"(0.007275502098391164, 0.0018548306021916156)",0.007508217321476566,500,90,alto
251,"(0.00755337021112152, 0.0009198753392982809)",0.007609176840244093,250,90,medio
