dataset,algorithm,ensemble_size,cores,batch_size,instances,time,acc,prec,recall,change
airlines,OzaBagAdwinExecutorMAXChunk,25,4,75,1,539383.0,790.0,87.71814992546003,88.22037307212577,87.03335002433748,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,250,1,45312.0,16.534000396728516,86.39430118503395,86.65896954702549,85.41414579283546,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,100,1,45312.0,105.90599822998047,89.45412722286119,89.49114106329954,88.86416399907174,0
airlines,LBagExecutorMAXChunk,25,4,250,1,539383.0,2238.803955078125,63.528294502469706,62.993410164027466,62.24740661437729,2150.0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,100,1,150000.0,96.65599822998047,93.5650433622415,77.75842709616435,54.720068229840294,0
elecNormNew,LBagExecutorRUNPER,25,4,1,1,45312.0,67.0469970703125,89.92761299435028,89.9378777992823,89.38888370829405,290.0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,25,1,539383.0,2439.860107421875,66.2118667007813,65.81062425067843,65.08872948669672,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,1,150000.0,17.232999801635742,93.32297297297298,75.0,51.6,
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,75,1,581012.0,2609.18408203125,95.57266966986093,93.30697432352167,90.40452999483492,0
GMSC,OzaBagExecutorMAXChunk,25,4,15,1,150000.0,25.22100067138672,93.26399306597327,70.26801167060364,52.71783416173744,0
GMSC,LBagExecutorMAXChunk,25,4,250,1,150000.0,73.86000061035156,93.44707846410685,75.82831916873243,53.413907546582514,433.0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,25,1,150000.0,21.993999481201172,93.03750625104183,75.3,51.2,
airlines,OzaBagASHTExecutorRUNPER,25,4,1,1,316190.0,590.010009765625,67.10364021632562,66.27528845131458,62.53200905954878,0
elecNormNew,OzaBagExecutorRUNPER,25,4,1,1,45312.0,33.8120002746582,82.3049081920904,81.92766159670064,81.78756771204979,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,50,1,581012.0,2626.0400390625,95.54032793883249,93.12201433066414,90.34985367775164,0
airlines,OzaBagExecutorMAXChunk,25,4,100,1,539383.0,94.79299926757812,60.726928162022546,59.982723021683235,59.37261709258128,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,15,1,45312.0,12.027000427246094,76.26332869726473,76.44136084685857,74.50218347092729,0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,5,1,45312.0,54.439998626708984,87.60677158055047,87.90993606767601,86.68090999104608,0
GMSC,OzaBagExecutorMAXChunk,25,4,2000,1,150000.0,18.930999755859375,93.3554054054054,73.21118891226897,53.53532944300866,0
GMSC,OzaBag,25,1,1,1,150000.0,66.7509994506836,93.446,78.88636944103557,52.11140840493101,0
