,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPI,PERC,tput
143,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,2070,2065.47509765625,45300.0,21.93199920654297,19.0,76.68066298342542,25,28,3.89811320754717,206.60000000000002,2052.917723812976,45312.0,109.14716981132077,85.4934157749392,0.0024094297971593986,50,2065.475179594465
408,OzaBagASHTExecutorMAXChunk,elecNormNew,4,50,414,409.1882019042969,45300.0,110.70700073242188,67.0,77.51602209944751,25,116,3.0342857142857147,637.2,408.6248410572735,45312.0,351.9771428571429,335.91667079380585,0.007769914853358563,10,409.1882148400878
261,OzaBagASHTExecutorMAXChunk,elecNormNew,4,25,3533,3092.966796875,43450.0,14.04800033569336,8.0,78.02187679907887,25,20,4.3921052631578945,166.89999999999998,3474.0473817373304,45312.0,87.84210526315789,61.70029621124267,0.002021682514687178,90,3092.966896477189
155,OzaBagASHTExecutorMAXChunk,elecNormNew,4,25,1963,1959.5968017578125,45300.0,23.117000579833984,10.0,78.79182771949199,25,29,3.8,205.2,1947.7303988995875,45312.0,110.19999999999999,87.84460220336913,0.002432671081677704,50,1959.5967843474148
1,OzaBagASHTExecutorMAXChunk,elecNormNew,4,25,392,389.4596557617188,45300.0,116.31500244140624,35.0,77.47984538928769,25,121,3.0009132420091325,657.2,388.9742555218858,45312.0,363.110502283105,349.0512310707405,0.008015684377110486,10,389.4596487913922
250,LBagExecutorMAXChunk,elecNormNew,4,2000,1262,1000.97314453125,36000.0,35.96500015258789,1812.0,86.45588235294117,25,42,4.833766233766235,372.20000000000005,1253.4439834024897,45312.0,203.01818181818186,173.84640333497683,0.005639393939393941,90,1000.9731641113198
380,LBagExecutorMAXChunk,elecNormNew,4,2000,701,648.1181030273438,42000.0,64.8030014038086,2444.0,86.845,25,71,3.9976744186046513,515.7,697.2149561470997,45312.0,283.83488372093024,259.06130096080693,0.0067579734219269105,50,648.1181286385846
92,LBagExecutorMAXChunk,elecNormNew,4,2000,140,133.5291748046875,16000.0,119.8239974975586,8587.0,88.96428571428572,25,126,3.274672489082969,749.8999999999999,139.75152691791723,16772.0,412.6087336244541,392.38434813720164,0.02578804585152838,10,133.5291789136479
307,LBagExecutorMAXChunk,elecNormNew,4,500,1324,1179.72607421875,40500.0,34.33000183105469,408.0,88.4425,25,40,5.014864864864864,371.09999999999997,1312.9726753788646,45312.0,200.59459459459458,172.1603199933026,0.004952952952952953,90,1179.7261240855505
167,LBagExecutorMAXChunk,elecNormNew,4,500,735,712.0086669921875,44000.0,61.797000885009766,589.0,88.56781609195401,25,68,4.123387096774193,511.3,730.9801897141382,45312.0,280.39032258064515,254.81295606859265,0.006372507331378298,50,712.0086633633571
105,LBagExecutorMAXChunk,elecNormNew,4,500,147,141.8782958984375,17000.0,119.8209991455078,2106.0,89.7939393939394,25,126,3.3096491228070173,754.5999999999999,144.74506503570507,17371.0,417.01578947368415,396.56546471579026,0.02453034055727554,10,141.87830281197705
334,LBagExecutorMAXChunk,elecNormNew,4,250,1282,1197.722900390625,42500.0,35.48400115966797,195.0,89.42721893491125,25,40,5.013513513513514,371.00000000000006,1274.9936689270942,45312.0,200.54054054054058,177.89951932752456,0.004718600953895072,90,1197.7228782279096
198,LBagExecutorMAXChunk,elecNormNew,4,250,712,699.1641845703125,44750.0,64.00499725341797,295.0,89.43370786516854,25,70,4.180468749999999,535.0999999999999,705.8713566899818,45312.0,292.63281249999994,267.5708908617496,0.006539280726256982,50,699.164157805042
223,LBagExecutorMAXChunk,elecNormNew,4,250,142,139.5251922607422,16750.0,120.0500030517578,1112.0,90.93333333333334,25,126,3.227510917030567,739.0999999999999,139.75036245771327,16772.0,406.66637554585145,387.4626954391012,0.024278589584826954,10,139.52519428740442
45,LBagExecutorMAXChunk,elecNormNew,4,100,1270,1179.166259765625,42200.0,35.78799819946289,81.0,90.32066508313538,25,42,5.032467532467533,387.5,1260.732867755488,45312.0,211.36363636363637,180.10193899080352,0.00500861697544162,90,1179.1662602864817
214,LBagExecutorMAXChunk,elecNormNew,4,100,705,692.4282836914062,44600.0,64.41100311279297,117.0,90.40449438202248,25,69,4.207936507936507,530.1999999999999,701.4241486068112,45312.0,290.347619047619,271.03741151113354,0.0065100363015161205,50,692.4282784712879
