,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,methodology,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,avg_times_duration,joules,JPI,PERC,tput
366,LBagExecutorMAXChunk,elecNormNew,4,250,671,89.375930328142,67.94000244140625,307.0,666.1907348632812,,45261.0,25,73,4.418796992481203,587.7,666.3431420126174,45312.0,322.57218045112785,1356.5706766917294,4.747897687070662,50,0.22130293954855457
24,LBagExecutorMAXChunk,elecNormNew,4,250,134,90.89010702166536,119.81900024414062,1169.0,129.97938537597656,,15574.0,25,125,3.4621145374449345,785.9000000000001,129.7725189567536,15574.0,432.7643171806168,4047.2118942731286,3.6118171266562524,10,0.10249700619686965
176,LBagExecutorMAXChunk,elecNormNew,4,100,1183,90.25084842300116,38.51399993896485,85.0,1096.6661376953125,,42237.0,25,43,5.2162500000000005,417.3,1175.2866109871868,45312.0,224.29875,443.38125,5.823823813560211,90,0.4531058816348806
339,LBagExecutorMAXChunk,elecNormNew,4,100,657,90.31864105695571,69.26000213623047,120.0,651.6748046875,,45135.0,25,75,4.422794117647059,601.5,652.9294792357128,45312.0,331.7095588235294,530.7352941176471,4.789337981409178,50,0.5771666844685872
240,LBagExecutorMAXChunk,elecNormNew,4,100,131,91.66989789324028,119.8209991455078,474.0,129.9772186279297,,15574.0,25,126,3.465502183406114,793.6000000000001,129.77360031330983,15574.0,436.6532751091704,1642.6480349344981,3.6442132699870826,10,0.25278691802849745
89,LBagExecutorMAXChunk,elecNormNew,4,75,1155,90.37062775075285,39.36899948120117,64.0,1098.453125,,43245.0,25,45,5.158333333333333,433.29999999999995,1145.48626033319,45312.0,232.125,330.1333333333333,5.896136631839996,90,0.6151406168937683
161,LBagExecutorMAXChunk,elecNormNew,4,75,641,90.33755554081836,70.86900329589844,91.0,639.3768310546875,,45312.0,25,77,4.3742857142857146,612.4000000000001,638.1432554995353,45312.0,336.82,398.06,4.752712530662803,50,0.7787802559988839
294,LBagExecutorMAXChunk,elecNormNew,4,75,128,92.14093959731544,119.81600189208984,286.0,124.98330688476562,,14975.0,25,125,3.4619469026548675,782.4000000000001,124.78126822764769,14975.0,432.74336283185846,990.1168141592921,3.6117326233402536,10,0.41893706955276167
422,LBagExecutorMAXChunk,elecNormNew,4,50,1069,90.52656213433185,42.63800048828125,45.0,1003.330322265625,,42780.0,25,48,4.930681818181818,433.9,1059.3351101136204,45312.0,236.6727272727273,221.8806818181818,5.550746389661849,90,0.9475111219618055
38,LBagExecutorMAXChunk,elecNormNew,4,50,594,90.50134842389141,76.86199951171875,64.0,589.2118530273438,,45288.0,25,83,4.342763157894736,660.0999999999999,588.3681975770324,45312.0,360.4493421052631,277.9368421052631,4.6895649917396085,50,1.2009687423706055
