arch,dataset,algorithm,ensemble_size,cores,chunk_size,time,accuracy,precision,recall
AMD-SCAL,airlines,AdaptiveRandomForestExecutorRUNPER,100,64,1,1195.9200439453125,66.45315110042401,66.08293954939022,65.29619745002194
AMD-SCAL,airlines,AdaptiveRandomForestExecutorRUNPER,100,8,1,1117.7080078125,66.45315110042401,66.08293954939022,65.29619745002194
AMD-SCAL,airlines,AdaptiveRandomForestExecutorRUNPER,100,96,1,1311.97705078125,66.45315110042401,66.08293954939022,65.29619745002194
AMD-SCAL,airlines,AdaptiveRandomForestSequential,100,1,1,2396.626953125,66.41458852058742,66.04330383595975,65.25418108381913
AMD-SCAL,airlines,LBagExecutorMAXChunk,100,128,50,474.3810119628906,63.46209113849884,62.91043542548614,62.21769185132566
AMD-SCAL,airlines,LBagExecutorMAXChunk,100,16,50,564.02099609375,63.48267211537214,62.93079315496096,62.24615634582238
AMD-SCAL,airlines,LBagExecutorMAXChunk,100,2,50,1801.5789794921875,63.43872894853458,62.88296092138753,62.20592137641019
AMD-SCAL,airlines,LBagExecutorMAXChunk,100,32,50,505.8330078125,63.47896383125082,62.92808993915566,62.23654873115836
AMD-SCAL,airlines,LBagExecutorMAXChunk,100,4,50,1226.175048828125,63.44392054630442,62.887218430123816,62.21756241280002
AMD-SCAL,airlines,LBagExecutorMAXChunk,100,64,50,514.406982421875,63.46542859420803,62.91297911053382,62.225818744646
AMD-SCAL,airlines,LBagExecutorMAXChunk,100,8,50,536.06298828125,63.45356208501983,62.90012105331992,62.21462814444434
AMD-SCAL,airlines,LBagExecutorMAXChunk,100,96,50,474.4289855957031,63.49286989670575,62.9434688736066,62.24830908006558
AMD-SCAL,airlines,LBagExecutorRUNPER,100,128,1,1121.93798828125,63.51052962366259,62.95714567656994,62.28900522537493
AMD-SCAL,airlines,LBagExecutorRUNPER,100,16,1,969.0170288085938,63.51052962366259,62.95714567656994,62.28900522537493
AMD-SCAL,airlines,LBagExecutorRUNPER,100,2,1,2216.632080078125,63.51052962366259,62.95714567656994,62.28900522537493
AMD-SCAL,airlines,LBagExecutorRUNPER,100,32,1,1053.9749755859375,63.51052962366259,62.95714567656994,62.28900522537493
AMD-SCAL,airlines,LBagExecutorRUNPER,100,4,1,1528.2440185546875,63.51052962366259,62.95714567656994,62.28900522537493
AMD-SCAL,airlines,LBagExecutorRUNPER,100,64,1,999.2449951171875,63.51052962366259,62.95714567656994,62.28900522537493
AMD-SCAL,airlines,LBagExecutorRUNPER,100,8,1,967.0040283203125,63.51052962366259,62.95714567656994,62.28900522537493
AMD-SCAL,airlines,LBagExecutorRUNPER,100,96,1,1087.3260498046875,63.51052962366259,62.95714567656994,62.28900522537493
AMD-SCAL,airlines,LeveragingBag,100,1,1,2771.47412109375,63.5064508892568,62.952776923560315,62.284959237423834
AMD-SCAL,airlines,OzaBag,100,1,1,265.72698974609375,65.07361188617364,65.95395312608329,62.70690503742987
AMD-SCAL,airlines,OzaBagAdwin,100,1,1,832.75,66.57514233856091,66.30346136413216,65.26324161120071
AMD-SCAL,airlines,OzaBagAdwinExecutorMAXChunk,100,128,50,339.8529968261719,67.00628368744357,67.03710903907287,65.41306699459413
AMD-SCAL,airlines,OzaBagAdwinExecutorMAXChunk,100,16,50,348.9580078125,67.07525777209999,67.12620967317527,65.47259546114333
AMD-SCAL,airlines,OzaBagAdwinExecutorMAXChunk,100,2,50,902.739013671875,66.98848392366126,67.01986394967814,65.39271916442371
AMD-SCAL,airlines,OzaBagAdwinExecutorMAXChunk,100,32,50,357.885009765625,67.04318111445062,67.08991950445132,65.44043952101372
