dataset,algorithm,ensemble_size,cores,batch_size,instances,time,acc,prec,recall,change
GMSC,LBagExecutorMAXChunk,25,4,2000,189,11101.0,60.14099884033203,93.2315130205472,65.83651768857979,50.945447721653125,0.0
airlines,OzaBagASHTExecutorMAXChunk,25,4,500,118,6901.0,60.11800003051758,64.89610998281519,62.50703413827042,56.94193407892486,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,19,901.0,60.09299850463867,48.945615982241954,?,50.0,0
GMSC,LBagExecutorMAXChunk,25,4,500,210,12601.0,60.130001068115234,93.38897611767622,68.4692908440099,52.19018280483214,0.0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,48,2701.0,60.11000061035156,75.87460245343026,75.32803263329824,76.30922156348716,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,50,1956,116600.0,60.01100158691406,93.37794937794938,75.3,51.6,
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,3,901.0,60.08599853515625,52.36907730673317,?,?,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,30,1801.0,60.09700012207031,0.0,?,?,0
airlines,OzaBagAdwinExecutorMAXChunk,25,4,500,196,10000.0,61.869998931884766,62.97894736842105,62.546790225133755,59.05501695094745,0
GMSC,AdaptiveRandomForestExecutorMAXChunk,25,4,500,337,20000.0,60.44499969482422,93.63589743589743,75.13542795232937,52.48761655520286,0
airlines,LBagExecutorMAXChunk,25,4,2000,5,1501.0,60.09199905395508,76.21585609593605,?,50.0,0.0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,2000,5,1501.0,60.0890007019043,0.0,?,?,0
covtypeNorm,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,206,9191.0,60.000999450683594,36.14240022250035,?,29.390804172718216,0
elecNormNew,LBagExecutorMAXChunk,25,4,500,603,32500.0,60.24800109863281,76.29375,75.96610203481376,74.90270336348699,66.0
elecNormNew,OzaBagAdwinExecutorMAXChunk,25,4,2000,386,22780.0,60.17399978637695,78.29162656400385,?,?,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,500,190,10500.0,61.667999267578125,57.11000000000001,?,44.26280883884178,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,181,10000.0,62.231998443603516,93.30000000000001,61.76913425345044,50.718329187751955,0
covtypeNorm,OzaBagASHTExecutorMAXChunk,25,4,500,234,9000.0,60.01599884033203,53.294117647058826,?,42.69299022227905,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,50,7,300.0,60.8849983215332,75.2,50.66666666666667,50.39304056178597,0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,50,138,8101.0,60.13600158691406,82.6978015153397,82.19776955262188,82.26070289819334,0
airlines,OzaBagExecutorMAXChunk,25,4,50,181,10150.0,60.321998596191406,63.34653465346535,62.44880699210134,58.91737074066992,0
covtypeNorm,OzaBagAdwinExecutorMAXChunk,25,4,2000,5,1501.0,60.071998596191406,0.0,?,?,0
airlines,OzaBagExecutorMAXChunk,25,4,500,20,1201.0,60.090999603271484,72.46790299572041,53.700063648957276,52.3247471183251,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,5,1501.0,60.0880012512207,0.0,?,?,0
GMSC,StreamingRandomPatchesExecutorMAXChunk,25,4,50,87,5100.0,60.04800033569336,93.98019801980197,74.3058687690559,50.93091951838864,0
covtypeNorm,StreamingRandomPatchesExecutorMAXChunk,25,4,2000,2,601.0,60.08100128173828,0.0,?,?,0
elecNormNew,StreamingRandomPatchesExecutorMAXChunk,25,4,500,6,301.0,60.08100128173828,39.8671096345515,?,50.0,0
airlines,OzaBagExecutorMAXChunk,25,4,500,186,10500.0,62.77199935913086,62.3,61.816212713579844,58.609066345672275,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,2000,252,15001.0,60.138999938964844,93.46204138143219,75.3,51.2,
covtypeNorm,OzaBagExecutorMAXChunk,25,4,2000,114,6000.0,63.077999114990234,47.199999999999996,?,?,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,49,5400.0,120.16000366210938,79.28971962616822,78.50427561155941,77.6634892926256,0
GMSC,OzaBagExecutorMAXChunk,25,4,500,72,4201.0,60.11600112915039,93.89354228586868,63.63800252388678,50.193453522567445,0
GMSC,OzaBagExecutorMAXChunk,25,4,2000,65,3901.0,60.11199951171875,93.74013677012098,?,50.0,0
covtypeNorm,OzaBagExecutorMAXChunk,25,4,500,22,1201.0,60.08599853515625,49.35805991440799,?,?,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,1364,38350.0,33.95800018310547,75.08665749656122,74.65731121197214,73.45098653959481,0
GMSC,LBagExecutorMAXChunk,25,4,50,753,43750.0,60.01300048828125,93.34553775743707,72.05947085813422,52.890701203878876,52.0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,50,40,2400.0,60.08100128173828,76.72340425531915,76.13797988919437,74.92373558865606,0
GMSC,LBagExecutorMAXChunk,25,4,2000,105,6301.0,60.12699890136719,93.32713322483144,64.01964496045768,53.07276914793179,2.0
elecNormNew,OzaBagASHTExecutorMAXChunk,25,4,500,157,9301.0,60.14400100708008,80.79763663220089,80.35563657600517,80.38479390503812,0
elecNormNew,OzaBagExecutorMAXChunk,25,4,2000,451,26000.0,60.560001373291016,77.0,?,?,0
GMSC,OzaBagASHTExecutorMAXChunk,25,4,500,484,28801.0,60.1619987487793,93.49492950779124,75.4,51.8,
covtypeNorm,LBagExecutorMAXChunk,25,4,2000,18,901.0,60.082000732421875,0.0,?,?,1.0
elecNormNew,OzaBagExecutorMAXChunk,25,4,500,271,16201.0,60.1619987487793,80.38978409018533,80.24104896413193,79.87834015853032,0
elecNormNew,AdaptiveRandomForestExecutorMAXChunk,25,4,500,207,12301.0,60.15599822998047,80.63723413270061,80.44915333725284,80.03606513644131,0
airlines,AdaptiveRandomForestExecutorMAXChunk,25,4,2000,8,301.0,60.077999114990234,79.06976744186046,?,50.0,0
