,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC,tput
200,OzaBagExecutorMAXChunk,covtypeNorm,4,25,330,329.4774475097656,39534.0,119.98999786376952,66.0,74.35521020526969,126,4.295614035087719,979.4,329.20309767674246,39534.0,515.4307188937538,0.013037656672579395,50,329.47746232052504
126,OzaBagExecutorMAXChunk,covtypeNorm,4,25,66,64.89837646484375,7788.0,120.00299835205078,250.0,62.991111683627466,125,3.881497797356828,881.1,64.89616613418531,7800.0,465.79137377970017,0.059808856417526986,10,64.8983784317828
226,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,100,635,627.4895629882812,75300.0,120.0019989013672,151.0,83.73271276595744,126,4.824561403508772,1100.0,633.118612470455,76073.0,578.9570122434383,0.007688672141347122,90,627.4895475857119
171,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,100,353,349.5331726074219,41930.0,119.95999908447266,230.0,78.10184078412622,126,4.356768558951965,997.7,349.14026395770014,41930.0,522.637952343137,0.01246453499506647,50,349.5331803935244
4,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,100,70,69.84749603271484,8400.0,120.26200103759766,944.0,64.22891566265059,125,3.926576576576577,871.7,69.891086390375,8400.0,472.21795632645893,0.05621642337219749,10,69.84749902318603
97,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,75,608,593.2457275390625,71250.0,120.10199737548828,119.0,84.16016859852476,125,4.838766519823789,1098.4,603.1974566820353,72479.0,581.1455238644772,0.00815642840511547,90,593.2457540838657
165,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,75,338,334.5810852050781,40133.0,119.9499969482422,186.0,77.57251984622297,126,4.550655021834061,1042.1,334.1965891679435,40133.0,545.8510559814986,0.013601052898649454,50,334.58108396048715
79,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,75,67,64.89945983886719,7788.0,120.0009994506836,804.0,65.03306106573318,126,3.9214912280701766,894.1000000000003,64.8967060761621,7800.0,470.5828667055098,0.0604240969062031,10,64.89945946825725
121,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,556,551.1903076171875,66150.0,120.01300048828124,87.0,83.40847201210288,126,4.802620087336245,1099.8000000000002,553.3648484444963,66489.0,576.376846886514,0.008713179847112834,90,551.1902854762744
116,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,309,304.6211242675781,36539.0,119.9489974975586,136.0,76.98210419578503,125,4.513656387665198,1024.6,304.3090812179359,36539.0,541.4085587488922,0.0148172790374365,50,304.62113700236387
110,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,50,61,59.903656005859375,7200.0,120.19300079345705,561.0,66.83916083916084,126,3.9649122807017543,904.0,59.904651762611174,7200.0,476.5547049003735,0.0661881534583852,10,59.90365455949201
177,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,25,472,408.2789001464844,49000.0,120.01599884033205,61.0,81.82337927514037,126,4.850218340611353,1110.6999999999998,468.6737861976544,56306.0,582.1037987421694,0.01187966936208509,90,408.2789000922207
287,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,25,262,259.7506408691406,31148.0,119.91500091552734,78.0,77.4732512932558,126,4.357456140350878,993.5,259.4499142052743,31148.0,522.5243570595458,0.01677553477139931,50,259.7506547320283
275,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,25,52,49.97126770019531,6000.0,120.06900024414062,291.0,70.49372384937239,125,4.141409691629956,940.1000000000001,49.92635862103397,6000.0,497.2549212754036,0.08287582021256727,10,49.97126642014162
27,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,100,651,643.1725463867188,77200.0,120.02999877929688,151.0,81.30090791180285,126,4.762280701754387,1085.8000000000002,648.0903514685442,77870.0,571.6165468182481,0.007404359414744147,90,643.172546739338
