,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,acc,methodology_x,ensemble_size,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,methodology_y,avg_times_duration,joules,JPI,PERC,tput
39,OzaBagExecutorMAXChunk,covtypeNorm,4,500,367,361.5629577636719,43500.0,120.31099700927734,1268.0,71.93023255813954,2,25,126,3.7789473684210524,861.5999999999999,364.03370019480843,43727.0,"2
",476.1473684210526,454.6489255403217,0.010945916515426497,90,361.56295834407933
156,OzaBagExecutorMAXChunk,covtypeNorm,4,500,204,199.9199066162109,23960.0,119.8479995727539,2123.0,64.33503836317136,2,25,126,3.419650655021834,783.1,199.6051217541258,23960.0,"2
",430.8759825327511,409.83829024202436,0.017983137835256725,50,199.9198992508427
174,OzaBagExecutorMAXChunk,covtypeNorm,4,500,40,40.00833511352539,4800.0,119.9749984741211,7245.0,55.97674418604651,2,25,126,2.9716157205240177,680.5,39.94640523963682,4800.0,"2
",374.4235807860262,356.51959153554327,0.07800491266375546,10,40.00833557864451
85,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,500,1031,1024.0015869140625,123000.0,120.11699676513672,449.0,86.75591836734694,3,25,126,4.606578947368421,1050.3,1025.6948260645117,123188.0,"3
",580.4289473684211,553.3284285193995,0.004718934531450578,90,1024.0016260188422
30,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,500,573,566.8556518554688,68000.0,119.95999908447266,731.0,85.14814814814815,3,25,125,3.988986784140969,905.5,568.3726892120224,68286.0,"3
",498.62334801762114,478.5188509735242,0.007332696294376781,50,566.8556228657204
204,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,500,381,378.3547058105469,45367.0,119.90599822998048,1162.0,76.35233022042927,2,25,126,3.8960698689956335,892.2,379.0855115789123,45524.0,"2
",490.90480349344983,467.1621468156707,0.010820746434488722,10,378.35471677560116
61,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,500,211,209.8476104736328,25158.0,119.88700103759766,2039.0,68.23748884743289,2,25,126,3.610087719298245,823.0999999999999,209.56617353058778,25158.0,"2
",454.8710526315789,432.8025901493273,0.01808057288463228,90,209.84760467992874
95,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,500,114,108.49969482421876,13000.0,119.81600189208984,2950.0,67.808,3,25,124,3.314222222222222,745.6999999999999,109.81300623312556,13178.0,"3
",410.9635555555555,397.09685604858396,0.03161258119658119,50,108.4996978259066
111,OzaBagAdwinExecutorMAXChunk,covtypeNorm,4,500,42,40.00766754150391,4800.0,119.97699737548828,7701.0,56.34883720930232,2,25,127,3.0813043478260873,708.7,,,,391.3256521739131,369.6856436522111,0.0815261775362319,10,40.00766901156552
115,OzaBagAdwin,covtypeNorm,1,1,255,162.46395874023438,19496.0,120.0019989013672,12522.0,74.56914238818219,1,25,127,3.6217391304347832,833.0000000000001,254.47109097118675,30549.0,"1
",459.9608695652175,434.6159351514735,0.02359257640363241,90,162.46396042139494
130,OzaBagAdwin,covtypeNorm,1,1,141,139.85406494140625,16772.0,119.9250030517578,787.0,71.94133078941091,1,25,127,3.5411255411255413,818.0,139.7561849527952,16772.0,"1
",449.72294372294374,424.66949132613803,0.02681391269514332,50,139.8540719049343
68,OzaBagAdwin,covtypeNorm,1,1,28,24.998958587646484,3000.0,120.00499725341795,103.0,65.96666666666667,1,25,126,3.0078602620087334,688.8,24.969412469724585,3000.0,"1
",378.9903930131004,360.95826248102304,0.1263301310043668,10,24.99895894889123
28,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,500,3211,3147.24609375,378000.0,120.1050033569336,146.0,76.72927152317881,3,25,125,4.763876651982379,1081.4,3199.8502246630055,384558.0,"3
",595.4845814977974,572.1654212783612,0.0015753560357084587,90,3147.2460716448436
137,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,500,1784,1773.477783203125,213000.0,120.10299682617188,214.0,78.98823529411764,3,25,126,3.925764192139738,899.0,1774.6523414418987,213244.0,"3
",494.64628820960695,471.49604430885813,0.0023222830432375915,50,1773.4778117841665
185,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,500,383,377.5964965820313,45500.0,120.4990005493164,1215.0,73.37555555555556,2,25,126,3.7620087336244543,861.5,379.0223879975689,45524.0,"2
",474.01310043668127,453.3182924595462,0.01041787033926772,10,377.5964928553768
132,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,500,356,354.0663452148437,42500.0,120.03399658203124,896.0,72.61666666666666,3,25,126,3.2609649122807016,743.5,354.10734209255463,42529.0,"3
",410.8815789473684,391.42665113482553,0.009667801857585138,90,354.0663579501454
81,OzaBagASHTExecutorMAXChunk,covtypeNorm,4,500,213,208.1667938232422,25000.0,120.09600067138672,2010.0,64.98367346938775,2,25,126,3.4298245614035086,782.0,209.56617353058778,25158.0,"2
",432.1578947368421,411.90821282905443,0.017286315789473684,50,208.16679872967939
