,index,algorithm,dataset,cores,batch_size,inc_rate,out_rate,instances,time,delay,duration,avg_measure,sum_measure,prod_rate,tt_inst_prod,joules,JPI,PERC
115,115,StreamingRandomPatchesExecutorMAXChunk,airlines,4,2000,89,51.09242248535156,8000.0,156.57899475097656,36187.0,161,5.462369337979093,1567.6999999999998,84.8698662051521,10200.0,855.2922998993238,0.10691153748741547,0
122,122,StreamingRandomPatchesExecutorMAXChunk,airlines,4,2000,17,15.006253242492676,1800.0,119.9499969482422,87175.0,152,4.333333333333333,1196.0,14.982769814713079,1800.0,519.7833201090496,0.2887685111716942,0
203,203,StreamingRandomPatchesExecutorMAXChunk,airlines,4,500,129,63.1517448425293,8000.0,126.6790008544922,7793.0,130,5.976271186440678,1410.3999999999999,124.79720454261825,15000.0,757.0680627337957,0.09463350784172446,0
41,41,StreamingRandomPatchesExecutorMAXChunk,airlines,4,500,72,61.74008560180664,7500.0,121.47699737548828,7856.0,126,5.889473684210527,1342.8000000000002,69.89457568168014,8400.0,715.4355792798495,0.09539141057064661,0
151,151,StreamingRandomPatchesExecutorMAXChunk,airlines,4,500,14,10.00441837310791,1200.0,119.9469985961914,29079.0,126,4.222270742358078,966.8999999999999,9.988845788869096,1200.0,506.44870280636445,0.4220405856719704,0
28,28,StreamingRandomPatchesExecutorMAXChunk,airlines,4,50,145,69.22222137451172,8350.0,120.6259994506836,721.0,125,6.21858407079646,1405.4,144.75712702394145,17371.0,750.1229187079235,0.08983508008478126,0
152,152,StreamingRandomPatchesExecutorMAXChunk,airlines,4,50,80,64.07855987548828,7700.0,120.16500091552734,778.0,124,6.030530973451328,1362.9,79.8728690168149,9600.0,724.6587599458949,0.09411152726570063,0
137,137,StreamingRandomPatchesExecutorMAXChunk,airlines,4,50,16,14.850626945495604,1800.0,121.20700073242188,2165.0,125,4.545575221238938,1027.3,14.982395685070042,1800.0,550.9555391699867,0.3060864106499926,0
171,171,OzaBagExecutorMAXChunk,airlines,4,2000,805,163.1310272216797,24000.0,147.12100219726562,12159.0,153,5.830324909747293,1615.0,802.5882157123835,96439.0,857.763243857704,0.035740135160737665,0
165,165,OzaBagExecutorMAXChunk,airlines,4,2000,447,173.56466674804688,24000.0,138.27699279785156,11327.0,144,5.504597701149425,1436.7,443.93278262607424,53311.0,761.1592166769093,0.03171496736153789,0
61,61,OzaBagExecutorMAXChunk,airlines,4,2000,89,80.91793060302734,10000.0,123.58200073242188,17575.0,128,4.450862068965517,1032.6,84.86774775974108,10200.0,550.0464394668053,0.05500464394668053,0
208,208,OzaBagExecutorMAXChunk,airlines,4,500,663,215.95042419433597,26000.0,120.39800262451172,2307.0,126,6.131877729257641,1404.1999999999998,658.1212232191906,79068.0,738.2658309403464,0.028394839651551786,0
156,156,OzaBagExecutorMAXChunk,airlines,4,500,368,202.52218627929688,26000.0,128.38099670410156,2455.0,134,6.22716049382716,1513.1999999999998,364.1701298376821,43727.0,799.449070833936,0.030748041185920616,0
